,FID,SHAPE,date,end_,id,latitude,longitude,start,title,total_atte,type,service_area,num_vehicles,av_ratio,dist_to_highway
574,575,"{'x': -13042008.105186818, 'y': 3857907.963897531, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-13,20:30:00,50030,32.7178128824,-117.158352165,17:30:00,deck the halls,220,festival,26415624.048537433,48323,0.004552697473252903,339.9839686252216
575,576,"{'x': -13052136.37936944, 'y': 3861611.779944611, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-13,20:00:00,48616,32.7458016,-117.249336,16:00:00,ocean beach certified farmers market (wednesdays),1260,farmers,14740217.129992394,20094,0.06270528515974919,1566.9671029093863
576,577,"{'x': -13043043.411516836, 'y': 3857931.9821863216, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-13,14:00:00,48565,32.7179944103,-117.16765248,11:00:00,curbside bites food truck markets (wed. lunch),325,farmers,4298519.824469306,13895,0.023389708528247573,681.5842924127222
577,578,"{'x': -13052584.864224503, 'y': 3868373.889554349, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-12,19:00:00,49057,32.7968783228,-117.253364808,14:00:00,pacific beach tuesday farmers market,860,farmers,7806613.857444158,17105,0.050277696579947385,3518.148485914488
578,579,"{'x': -13048653.03665523, 'y': 3873412.718189556, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-12,13:30:00,49975,32.8349194,-117.2180446,08:30:00,gary senise foundation home dedication,220,festival,6544910.791779241,4886,0.04502660663119116,661.3056036410318
579,580,"{'x': -13042852.923830584, 'y': 3856863.8878943245, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-10,17:00:00,49655,32.7099215,-117.1659413,13:00:00,10th annual gaslamp holiday pet parade,3200,parades,4960091.077065235,14756,0.2168609379235565,1446.0551990006945
580,581,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-10,16:30:00,49152,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,7576696.002125137,3894,0.2824858757062147,268.1369164999178
581,582,"{'x': -13041065.299787676, 'y': 3861974.049583184, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-10,14:00:00,48853,32.7485387,-117.1498828,09:00:00,2017 hillcrest farmers market (sundays),2400,farmers,7426803.890344882,15577,0.15407331321820633,536.5619557145646
582,583,"{'x': -13047728.425647622, 'y': 3865710.9871919993, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-10,13:30:00,49415,32.776767932,-117.209738678,07:30:00,the winter classic,1100,athletic,5257256.806367509,1258,0.8744038155802861,113.44495989927404
583,584,"{'x': -13041938.167046936, 'y': 3856213.704265197, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-10,13:30:00,49728,32.7050069,-117.1577239,07:00:00,everywon san diego,1520,athletic,8140390.642984671,14263,0.10656944541821496,944.9494204854651
584,585,"{'x': -13038778.541411955, 'y': 3861840.3032760397, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,22:00:00,48868,32.7475282,-117.1293405,18:00:00,ray at night (2nd saturday each month),540,exhibits,19236896.212822348,45645,0.011830430496220835,631.2888638457539
585,586,"{'x': -13043541.946950797, 'y': 3862410.6117939996, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,22:00:00,49704,32.751837,-117.1721309,17:00:00,holiday in the hills,425,festival,18409148.987929806,23950,0.017745302713987474,868.8773468331653
586,587,"{'x': -13050374.83748323, 'y': 3868971.9123647925, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,15:30:00,49691,32.801394,-117.2335118,13:00:00,pacific beach holiday parade,15600,parades,17529109.662625365,23515,0.6634063363810334,1686.723454809039
587,588,"{'x': -13052502.411102187, 'y': 3861878.487738315, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,16:00:00,49520,32.7478166981,-117.252624119,09:00:00,ocean beach town council craft fair,200,farmers,2360713.1407817355,6030,0.03316749585406302,1711.7610606430737
588,589,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,16:30:00,49151,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,6713104.661568643,3739,0.2941963091735758,268.1369164999178
589,590,"{'x': -13035717.125505293, 'y': 3861900.3006758774, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,13:00:00,48771,32.7479815027,-117.101839333,09:00:00,city heights farmers market (every saturday),600,farmers,6943618.5271911435,14732,0.040727667662231876,631.7913566465563
590,591,"{'x': -13052618.838042537, 'y': 3868385.1032955125, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,13:00:00,49696,32.796963,-117.25367,08:30:00,annual san diego santa run 5k & 1-mile,3100,athletic,5998013.419934942,13633,0.22738942272427198,3535.3445371638036
591,592,"{'x': -13042761.423327971, 'y': 3858623.861433023, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,14:00:00,48992,32.723223408,-117.165119337,08:00:00,the mercato: little italys farmers market (sat.),1900,farmers,6118265.019780207,11317,0.16788901652381374,75.0313837749232
592,593,"{'x': -13047672.128264183, 'y': 3868254.6230225987, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,10:00:00,50433,32.7959777124,-117.20923295,07:00:00,h2o san diego 5k & 1 mile run/walk,550,athletic,18050722.630733266,14214,0.03869424511045448,4.710023656075473
593,594,"{'x': -13034624.654613003, 'y': 3856079.242726706, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,15:00:00,49698,32.7039905,-117.0920255,07:00:00,toys for joy 2017,13000,festival,25545711.56438563,19955,0.6514657980456026,264.90895489313925
594,595,"{'x': -13040244.48440912, 'y': 3860814.612734017, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,11:00:00,49968,32.7397783692,-117.14250929,07:00:00,foot locker national cross country championships,2580,athletic,10825448.797919739,14155,0.18226774991169198,1271.0371980964753
595,596,"{'x': -13041977.707730066, 'y': 3859870.3912573536, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-09,11:00:00,49885,32.7326435,-117.1580791,07:00:00,25th annual jingle bell run,2100,athletic,993786.0187128263,1833,1.1456628477905073,246.388946719623
596,597,"{'x': -13038910.994240157, 'y': 3861859.2056865613, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-07,19:30:00,48718,32.747671015,-117.130530344,15:00:00,north park thursday market,970,farmers,12774562.873029292,31473,0.030820067994789185,731.3271746915706
597,598,"{'x': -13052136.37936944, 'y': 3861611.779944611, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-06,20:00:00,48615,32.7458016,-117.249336,16:00:00,ocean beach certified farmers market (wednesdays),1260,farmers,14740217.129992394,20094,0.06270528515974919,1566.9671029093863
598,599,"{'x': -13043043.411516836, 'y': 3857931.9821863216, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-06,14:00:00,48564,32.7179944103,-117.16765248,11:00:00,curbside bites food truck markets (wed. lunch),325,farmers,4298519.824469306,13895,0.023389708528247573,681.5842924127222
